Village No.,Village name,Tractors,Tube wells,Irrigiated area
1,Ajnaud,20,102,281
2,Aracha,19,126,337
3,Afjullapur,5,31,77
4,Alampur,10,39,108
5,Bishanpur,12,85,191
6,Shahpur,21,130,208
7,Sirthala,44,222,698
8,Sultanpur,12,70,180
9,Sihora,20,219,458
10,Hole,10,115,288
11,Kotli  Afgana,11,41,161
12,Katari,30,133,512
13,Kartarpur,15,55,123
14,Katana Sahib,3,50,100
15,Kaddon,36,249,675
16,Gobindpura,24,119,258
17,Gurditpura,17,95,143
18,Gidrhi,15,100,267
19,Ghadani Kalan,76,551,1178
20,Ghadani K.hurd,35,209,523
21,Ghalouti,46,380,583
22,Ghanrash,16,160,310
23,Chankoian Kalan,7,33,129
24,Chankoian K.hurd,21,142,184
25,Chapran,7,64,91
26,Jaipura,22,130,240
27,Jahangir,5,27,80
28,Jandali,21,118,429
29,Jargarhi,38,193,583
30,Jarag,59,360,888
